Me: 	EMILY?!
Me: 	You seem pretty relaxed today...
Me: 	Something nice happen?
Eve:	Why, yes, actually.
Eve:	The nicest thing that could happen.
Eve:	The patients' therapies are going smoothly.
Me: 	Well, that's good to hear.
Me: 	Do you think all of them will be cured?
Eve:	Well, certain cases are more difficult than others to remedy...
Eve:	But, yes. I think we will help them all.
Me: 	That's great to hear.
    Eve:	So, how has college been?
            Eve:	That's good to hear. Any classes giving you difficulties?
                Me: 	Not really. Things only get hard in the final year.
                    Eve:	You're right about that. I remember my first years of college fondly...
                        Me: 	Oh, yeah? Tell me a story from your "glory days."
                            Eve:	Well, what kind of story do you want to hear?
                                    Eve:	Oh, I don't know... My college days weren't very eventful.
                                        Me: 	You sure? You've gotta have some good stories.
                        Me: 	Were your classmates dinosaurs, by any chance?
                            Eve:	Oooooh... Very original. No, I'm not that old...
                                    Eve:	Good to see some self-awareness...
                                        Me: 	*Chuckle* You know that's not my strong suit.
                                        Me: 	*Quietly* You'd benefit from a healthy dose of that, too...
                    Eve:	Which class?
                            Eve:	Oh, come on. You can't be serious...
                                    Eve:	Really? Even after all those summers hearing my "free lectures?"
                                        Me: 	You know, I didn't really get all that psycho-babble.
                                        Me: 	I guess it all just went in one ear and out the other.
                                    Eve:	*Soft chuckle* You're quite the comedian.
                                            Eve:	What's so difficult about it?
                                                Me: 	There are just so many formulas you need to memorize...
                                                Me: 	Well, one tiny mistake becomes a huge error on a test...
                        Me: 	Well... Math was always my weakest subject.
                            Eve:	Where do you struggle with math?
                                Me: 	One mistake has a snowball effect in multipart problems...
            Eve:	Ups and downs?
                    Eve:	That's great to hear! Care to share?
                        Me: 	I always feel amazing after getting 90%% or more on exams.
                            Eve:	Of course, that's something to be proud of.
                        Me: 	Yeah, I've spent time with two really great girls...
                            Eve:	*Chuckle* Woah, there! You're quite the player, huh?
                                Me: 	*Chuckle* I didn't mean at the same time, Eve.
                    Eve:	Sorry to hear that... You want to talk about it?
                        Me: 	Sure... Recently, Jane and I ended whatever we had going...
                            Eve:	Well, that's a shame... What caused it?
                                Me: 	She thought there was a rift forming between us...
    Eve:	I swear, if you tell anyone what I tell you...
    Me: 	I won't tell a soul.
    Eve:	I'll hold you to that.
    Eve:	Well, okay. Here it goes...
    Eve:	When I was in college, I joined a sorority...
    Eve:	It wasn't one of those sororities you see in the movies.
    Eve:	I was quite timid, even a bit of a bookworm, back then.
    Eve:	Our sorority house was kind of... unusual.
    Eve:	Something in between a study group and a party house.
    Me: 	(Party nerds?)
    Eve:	I know what you're thinking.
    Eve:	"Sounds boring."
    Me: 	Well, no--
    Eve:	I wouldn't disagree with you, but the parties some of our girls threw...
    Eve:	Well, when they happened, they were the talk of the campus.
    Me: 	I'm listening...
    Eve:	Hmm... Okay. I know the perfect party to tell you about.
    Eve:	It was a pretty hot autumn, and getting close to Halloween...
    Eve:	We were just about finished with our midterms...
    Eve:	And, so eager to let our hair down a little.
    Eve:	So, we decided to organize a party at our house.
    Eve:	We decorated the place to look like an old Victorian manor...
    Me: 	Sounds spooky.
    Eve:	Oh, it was.
    Eve:	The cherry on top involved the old stone pond in the back yard...
    Me: 	A pond?
    Eve:	I'll get to that...
    Me: 	Okay, okay.
    Eve:	So, we had our friends pass our fliers, and spread the word...
    Eve:	By nightfall, tons of people were congregating on the front lawn.
    Eve:	We started letting them in, and within an hour the house was full.
    Eve:	The music was loud, the drinks flowing...
    Me: 	(Sounds like a bumpin' party.)
    Eve:	As the night went on, the perfect time was approaching...
    Eve:	One of my housemates got the partygoers' attention...
    Eve:	And, that was our cue.
    Eve:	A few housemates and I threw these huge blocks of dry ice into the pond.
    Eve:	Which, in turn, released the spookiest-looking fog.
    Eve:	The girls went wild.
    Eve:	Within moments they were jumping into the pond, splashing around...
    Me: 	(Damn, that sounds like a Halloween party at the Playboy mansion...)
    Eve:	We lost control of the partygoers. They got pretty rowdy...
    Eve:	The party was shut down around 3am...
    Eve:	Ah... What a night.
    Me: 	(Looks like Eve has a wild side.)
    Eve:	My most difficult class...
    Eve:	Hmm...
    Eve:	You know, I'd probably have to say neurobiology.
    Eve:	(Neurobiology? And, I thought math was hard...)
    Eve:	Yeah, it's definitely neurobiology.
    Eve:	There was this one term I was studying like a maniac...
    Eve:	All for this one final exam.
    Me: 	Neurobiology?
    Eve:	Yeah. The teacher was an old codger...
    Eve:	Nearly blind, and very... traditional.
    Me: 	Was he teaching during The Renaissance?
    Eve:	*Chuckle* You know? He might have.
    Eve:	Anyway... He wanted us to practically memorize the entire textbook...
    Eve:	All the terminology, all the theories and systems...
    Eve:	By the second week of studying, I was truly losing my marbles.
    Eve:	I hadn't slept in 3 days, and barely eaten much food...
    Eve:	I was a machine built to study, and fueled by that sweet black liquid...
    Me: 	Coffee.
    Eve:	Exactly. I was a machine and coffee was my fuel.
    Eve:	So, finally the day came...
    Eve:	I sat down, looked around at all the other panicked students.
    Eve:	The old man showed up, passed out the exams, and smiled...
    Me: 	(What an ass...)
    Eve:	He got some sick joy in failing students.
    Eve:	And, the look of abject terror on the young faces in front of him.
    Eve:	There are some professors out there that make that their goal...
    Eve:	I, personally, see that as a sign of that professor's failure.
    Eve:	Back to the point...
    Eve:	I focused, filled in the exam to the best of my abilities, and turned it in.
    Me: 	And?
    Eve:	And, I ended up getting a 95 %% and rubbing it in his face, subtlely.
    Me: 	Nice!
    Me: 	That's one of the best ways to stick it to a teacher like that.
    Eve:	Yeah. Yeah, it is...
    Eve:	I'm sorry to hear that, Dennis...
    Eve:	I can sympathize with you.
    Eve:	I've had my fair share of heartbreak throughout my life...
    Me: 	Yeah?
    Eve:	Yeah.
    Eve:	It gets better. Just give it time.
    Me: 	Thanks, Eve...
    Narr:	Eve looks annoyed by your rude comment.
    Eve:	And here I thought you had matured...
    Eve:	You still have some work to do.
    Narr:	You roll your eyes at Eve, and both of you go quiet.
    Eve:	A young Casanova, you say?
    Eve:	(I hope he's not trying anything with the patients...)
    Me: 	It's just something a friend of mine called me.
    Eve:	But, why would he call you that?
    Eve:	Don't you know what that means, ladykiller?
    Me: 	Oh, that's what it means?
    Me: 	I thought they made that phrase up.
    Eve:	Of course they didn't...
    Eve:	That phrase refers to to Giovanni Giacomo.
    Eve:	A figure from history often portrayed as a womanizer.
    Me: 	*Chuckle* Oh, I'm definitely not that.
    Eve:	(Yeah, I really hope you aren't...)
    Eve:	Well, your friend must have been calling you that ironically, then.
    Me: 	People do love to make me the butt of jokes.
    Eve:	I won't push it...
    Eve:	Whatever it is, though... I'm sorry it happened.
    Me: 	Thanks, Eve.
    Eve:	I'm here for you, Dennis.
    Me: 	I really appreciate it.
Narr:	Suddenly, you both hear the beeping noise of a phone alarm...
Narr:	Which interrupts the conversation you were having with Eve.
Eve:	Oh, would you look at the time.
Eve:	Sorry, Dennis. Looks like our time is up.
Me: 	(Now I feel like one of her patients...)
Me: 	(Talking with a deadline.)
Me: 	It's fine. What's the alarm for?
Eve:	It's a little head's-up that we need to start preparing the barbecue.
Me: 	You're probably going to need my help, huh?
Eve:	*Chuckle* How'd you know, Mr. Chef?
Me: 	I'm going to be the grillmaster?
Eve:	Yes you are.
Me: 	Cool.
Eve:	Anyway, let's go.
Eve:	Kiara should be meeting us in the kitchen, shortly.
Narr:	You follow Eve the short distance into the kitchen.
Narr:	Deciding to follow Stacy, you jog after her, down the path.
Me: 	Hey, Stacy!
Me: 	Wait up!
Narr:	You quickly catch up to Stacy, who greets you with a happy smile.
Stacy:	Hello, Dennis.
Stacy:	What are you doing running after me?
Me: 	I saw you down the path, and decided to see what you're up to.
Stacy:	Oh, you want to spend time with me?
Me: 	Maybe...
Me: 	My main thought was just to say hello.
Me: 	You may change my mind, though.
Stacy:	I enjoy the time we spend together.
Stacy:	And, well...
Eve:	Hello, Violet.
Eve:	How are you today?
Violet:	Hi, Dr. Eve. I'm doing well, thank you.
Violet:	How are you?
Eve:	I'm fine, thanks for asking.
Eve:	Well, Violet...
Eve:	You know that your situation is far more... sensitive.
Violet:	Yes... I know.
Eve:	Because of this, the kinds of therapies available to you are limited.
Violet:	Oh...
Eve:	Don't be disheartened, Violet.
Eve:	I'll do my best to help you.
Eve:	In fact, I think I have an idea what might help...
Violet:	That's wonderful.
Eve:	However, it will take your complete cooperation.
Me: 	(Complete cooperation?)
Eve:	Despite how odd it may be to you, at first.
Violet:	Odd?
Eve:	Well, not exactly odd.
Eve:	Rather, something you may not be used to.
Violet:	Okay, I'll give you my complete cooperation.
Eve:	Excellent. Then, we can begin...
Eve:	Today, you will only go through a preliminary hypnotherapy session.
Eve:	We want to ease you into it, so there are no adverse side-effects.
Violet:	Side-effects?
Eve:	You really don't need to worry about them.
Me: 	(I wonder what those side-effects are...)
Eve:	We'll take this slowly, to properly acclimate your mind, so to speak.
Violet:	Okay, I trust you.
Violet:	I have been feeling better since arriving here...
Eve:	You have quite a journey still.
Violet:	I know. I'm ready to conquer this challenge.
Narr:	You reposition yourself underneath the window...
Narr:	A spot where you have a better vantage point.
Me: 	(I can see them fine, from here.)
Me: 	(Not the best, but better than my last angle.)
Narr:	As you peer through the window once more... 
Narr:	...you see Eve take something out of her pocket.
Me: 	(What's that?)
Eve:	This is a simple pendulum.
Eve:	I'll need you to focus on it as it swings.
Eve:	And, listen to me very carefully.
Violet:	Okay...
Me: 	(She's doing hypnotherapy on Violet?)
Me: 	(This is gonna be interesting...)
Eve:	In a moment, I am going to ease you into relaxation.
Narr:	Eve begins swinging the pendulum as she speaks more calmly.
Eve:	Follow the pendulum with your eyes, and listen to my voice.
Eve:	I am going to count down from ten, to one.
Violet:	Okay...
Eve:	The moment I say the number ten, you will let your eyelids grow heavy...
Eve:	...allowing them to close, and remain closed.
Violet:	Yes...
Eve:	The moment I say the number ten...
Eve:	...you will, in your mind, see yourself atop a set of stairs.
Eve:	The moment I say the number nine, and every other number counting down...
Eve:	You will move down those stairs, relaxing more with each step.
Violet:	Mhm...
Eve:	At the bottom of the stairs is a large, comfortable bed.
Eve:	A bed with silky sheets, and feathered pillows.
Violet:	Sounds pleasant...
Eve:	The moment I say the number one...
Eve:	...you will sink into the bed, and rest your head on the soft pillow.
Eve:	Follow the pendulum...
Eve:	Starting with ten... Let your eyes grow heavy...
Eve:	Ten... Your eyes grow heavier.
Eve:	Nine... You're relaxing, and letting go.
Eve:	Eight... Sink into a more comfortable position.
Eve:	Seven...
Eve:	Six... Another step...
Eve:	Five... You're calm, and relaxing more.
Eve:	Four...
Eve:	Three... Breathe in slowly.
Eve:	Two... You're nearly at the luxurious bed...
Eve:	One... 
Eve:	Let yourself sink into the comfortable bed...
Eve:	Let every muscle go limp and loose, as you sink into calmness.
Eve:	Good, gooood...
Narr:	Eve puts the pendulum down, before speaking once more.
Eve:	How do you feel, Violet?
Violet:	I feel... Relaxed.
Eve:	That's great.
Eve:	Listen to my voice...
Violet:	I am listening to your voice.
Eve:	Good.
Eve:	Now that you're relaxed, I am going to give you affirmations...
Me: 	(Hmm? Affirmations?)
Eve:	...and, you will embrace them fully.
Violet:	I will embrace them fully.
Me: 	(Woah, okay... This is getting interesting.)
Eve:	First, we will begin with simple affirmations...
Eve:	These will modify your behavior...
Eve:	Both conscious and subconscious.
Me: 	(What the hell is Eve doing?)
Me: 	(This sounds like some MK ULTRA shit...)
Eve:	You are relaxed.
Violet:	I am relaxed.
Eve:	You are emerging...
Violet:	I am emerging...
Me: 	(Emerging?)
Eve:	...from your shell.
Violet:	...from my shell.
Me: 	(This is so weird...)
Eve:	You are comfortable at Red Falls.
Violet:	I am comfortable at Red Falls.
Eve:	You are comfortable with the other girls.
Violet:	I am comfortable with the other girls.
Me: 	(She's suggesting for Violet to become more... open?)
Eve:	You are comfortable with your body.
Violet:	I am comfotable with my body.
Eve:	You are not triggered by clapping, anymore.
Violet:	I am not triggered by clapping, anymore.
Me: 	(Oh...)
Me: 	(I think I see where Eve is taking this...)
Eve:	Now, Violet... I'm going to test something...
Violet:	Now... Violet... I'm going to--
Me: 	(Heh, this is actually kinda funny.)
Eve:	No, no. Please don't repeat this.
Violet:	Okay.
Narr:	Eve slowly raises her hands in front of herself...
Narr:	Looking concerned, and acting cautiously, Eve claps twice.
Me: 	(Uh-oh...)
Violet:	Mmmff... Ahh...
Me: 	(Eve just made Violet... cum!)
Me: 	(What the hell?!)
Eve:	*Quietly* Damn. I hoped that would help...
Eve:	You are calm. You are relaxed.
Violet:	I am... calm. I'm... relaxed.
Eve:	I will count up to three...
Eve:	On three... You will come back to us, and open your eyes.
Violet:	I will come back...
Eve:	One...
Eve:	Two...
Eve:	Three.
Narr:	Violet opens her eyes, as Eve says three.
Eve:	Welcome back, Violet.
Eve:	How do you feel?
Violet:	I... uhh...
Violet:	I feel a bit weird... 
Violet:	But... also really relaxed.
Me: 	(This was the most bizarre session yet...)
Me: 	(I think I've seen too much.)
Narr:	As you crouch to sneak away...
Narr:	You hear someone whisper in your ear.
Stacy:	*Whisper* What are you dooooing?
Me: 	*Quiet gasp* Aah. Uh, hey Stacy.
Narr:	Attempting to divert attion from what you were doing...
Narr:	You bear hug Stacy, pulling her away from the window.
Me: 	I'm so happy to see you!
Stacy:	I am pleased to see you too, Dennis.
Me: 	(That was pretty smooth...)
Me: 	(But, I'm probably not out of the woods yet.)
Narr:	You put your arm over Stacy's shoulder and walk her to the front of the house.
    Stacy:	What were you doing over there?
            Stacy:	Are you... watching Violet?
                    Stacy:	Oh? For tribute?
                            Stacy:	Who are you paying tribute to?
            Stacy:	Oh? You wish to pay tribute to the divine flame?
                    Stacy:	I'm certain you will succeed. Do you require help?
                            Stacy:	The ashen kings? One does not pay tribute to them...
                Me: 	Yeah, I just wanted to get closer to the ashy kings.
                    Stacy:	The ashy kings? One does not pay tribute to them...
                        Me: 	Ah, you're right. I misspoke. I meant the flame... of creation.
Narr:	Stacy scowls at you suspiciously...
Stacy:	I feel as though...
Stacy:	You're being deceitful.
Me: 	I swear, I'm telling you the truth.
Stacy:	(The flame never lies...)
Stacy:	I am disheartened by your actions... Dennis.
Stacy:	It will take some time for the flame to forgive your dishonesty.
Me: 	(Shit, I didn't convince her...)
Me: 	I'm sorry, Stacy...
Stacy:	I must leave you, now.
Stacy:	See you at the barbecue.
Narr:	Without actually saying goodbye, Stacy walks away sullenly.
Stacy:	(Why was he... watching her?)
Stacy:	(What does he think of her...)
Stacy:	(Heavenly... please guide me...)
Me: 	(She may burn me alive in my sleep for this...)
Me: 	*Shudder*
Narr:	Realizing you messed up, you walk over to the front steps.
Narr:	Sitting on the front steps of the house, you collect your thoughts.
Me: 	(I hope she'll forgive me...)
Narr:	However, you are interrupted by Violet walking toward you.
Violet:	Hey, Dennis! What's wrong?
Me: 	Oh, nothing. I'm just feeling a bit tired...
Violet:	That's too bad. It's such a nice day!
Violet:	We have a little free time before the barbecue...
Violet:	I might take a dip in the lake. It's pretty refreshing.
Violet:	If you're feeling up for it, you could join me?
Me: 	Huh? Oh... no, I can't.
Me: 	I think I'm needed here.
Violet:	(Oh, that's such a shame...)
Violet:	(Why am I feeling so... open?)
Violet:	See you later, then.
Me: 	See you, Violet.
Me: 	(Why was she being so open with me?)
Me: 	(She's usually so shy...)
Me: 	(Odd.)
Narr:	Violet walks away from you and down the path, energetically.
Stacy:	Aaahh...
Stacy:	I am happy...
Me: 	Oh?
Stacy:	I am happy to be here, with you.
Stacy:	You seem to respect my beliefs...
Stacy:	I am not used to this.
Stacy:	At best... most people just mock us...
Stacy:	At worst, they threaten us with violence...
Stacy:	...sometimes acting on their violent impulses.
Me: 	I'm sorry to hear that, Stacy...
Narr:	Stacy becomes more cheerful, in an attempt to ease your mind.
Stacy:	Oh, do not worry. We are strong in body and spirit.
Me: 	(You sure are...)
Narr:	You walk with Stacy to the front of the house.
Stacy:	Dennis... I have an idea.
Stacy:	Will you hear me out?
Me: 	Sure, Stacy.
Stacy:	I would like to spend more time with you.
Stacy:	We still have some free time before the barbecue this evening, you know?
Me: 	(I wonder where this is going...)
Me: 	Yes?
Stacy:	I would like you to come with me... somewhere.
Me: 	Will you tell me where we're going?
Stacy:	*Giggle* That would ruin half the fun.
Stacy:	Do you trust me?
Me: 	(That's a good question...)
Me: 	(Do I?)
Stacy:	Well... Do you?
Me: 	I do, Stacy.
Stacy:	Good. Then, will you join me?
Me: 	(Hmm... Will I?)
    Me: 	(Hmm... Will I?)
        Me: 	You know what?
        Stacy:	Oh?
        Me: 	I'll join you, Stacy.
        Narr:	You see a glimmer in Stacy's eyes as you say this.
        Stacy:	Oh, wonderful!
        Stacy:	Take my hand.
        Narr:	As you grab Stacy's hand, she guides you off the path...
        Narr:	...and back to her secret spot.
        Stacy:	We're here. This is my secret place.
        Me: 	Your secret place?
        Stacy:	Yes. I found this place the first day I got here.
        Stacy:	I come here to get away from the others, and commune with my deities.
        Me: 	I thought you needed fire for that.
        Stacy:	Oh, no. 
        Stacy:	Not every kind of communication requires a burning connection.
        Me: 	Interesting...
        Stacy:	There are other forms of connection...
        Stacy:	...that allow divine communication.
        Me: 	(Is she--)
        Narr:	Stacy comes closer to you, and embraces you.
        Narr:	Her lips kiss your neck sensually
        Narr:	Then meet your lips.
        Stacy:	Touch me...
        Me: 	Okay.
        Narr:	You touch Stacy's breast, as she begins touching herself.
        Stacy:	We can't bask in the heat of pleasure for too long...
        Stacy:	The others may become suspicious.
        Me: 	You read my mind, Stacy.
        Me: 	(Seems she's starting to get the M.O.)
        Narr:	She drops to her knees, while continuing to touch herself...
        Narr:	...only stopping to pull down your pants, exposing your member to her.
        Me: 	(Fuck yeah... I really like this pacing...)
        Stacy:	You're filling up... with the warmth of pleasure.
        Narr:	Stacy places her hand around your cock, and begins stroking it.
        Stacy:	Do you enjoy this?
        Me: 	Oh yeah... This is nice, Stacy.
        Narr:	She continues stroking you methodically, and with intent.
        Narr:	It appears she enjoys this almost as much as you do.
        Stacy:	I think you'll like this.
        Me: 	Hmm? Wha--
        Narr:	Before you can even finish your thought...
        Narr:	You're thrust into the realm of intense pleasure,
        Narr:	as Stacy takes your cock into her mouth.
        Me: 	*Moan* Aaaahhh... Yeah...
        Stacy:	Mmmm...
        Narr:	Stacy continues sucking your long, hard cock...
        Narr:	Taking it as deep down her throat as she can.
        Stacy:	Gglgl...
        Me: 	Aaah... Fuck...
        Narr:	Stacy sucks you off so well, you're peaking before you know it.
        Narr:	And, never having stopped touching herself, Stacy is too.
        Me: 	I'm gonna...
        Stacy:	*Muffled* Give... me--
        Narr:	Before Stacy can finish her muffled request, you orgasm...
        Narr:	...releasing a huge load of cum into her throat.
        Me: 	*Moan* Aaaah...
        Narr:	As she takes your load she gasps in orgasm.
        Stacy:	*Gasp* Mmmmf! Aah!
        Narr:	Her tongue falls out of her mouth, her body in pure ecstacy...
        Narr:	However, even in orgasm... 
        Narr:	...she makes sure to close her mouth, swallowing the rest of your load.
        Me: 	(Shit, that was intense...)
        Stacy:	Did you enjoy this, Dennis?
        Me: 	Yeah, I really did...
        Stacy:	Did I send sparks flying through you?
        Me: 	You could say that...
        Stacy:	Good... You filled me with the sparks of passion, too.
        Stacy:	I fear our time is up.
        Narr:	Stacy stands up and wipes cum of her face, allowing you to pull up your pants.
        Me: 	I think you're right...
        Me: 	I hope we get to do something like this again, though.
        Stacy:	Oh? You do?
        Stacy:	Then, we'll make sure to spice it up next time.
        Stacy:	You should go that way.
        Stacy:	It's the quickest path back to the house.
        Me: 	Thanks, Stacy.
        Me: 	How... do you know that?
        Stacy:	I've been exploring.
        Stacy:	*Giggle* Goodbye, my fiery prince.
        Me: 	See you later, hot stuff.
        Narr:	You both go your separate ways.
        Narr:	Stacy notices the look of conflict in your eyes.
        Stacy:	Oh...
        Stacy:	It saddens me...
        Me: 	Yeah, I really can't...
        Me: 	I'm sorry, Stacy.
        Stacy:	It's okay...
        Stacy:	There will be other moments for us to share.
        Me: 	(She really enjoys my company...)
        Me: 	(And, I'm starting to enjoy hers.)
        Narr:	Stacy leaves you, and heads back toward the girls' campground.
        Me: 	(I should probably head back to the house...)
Narr:	Standing outside the house, you stretch your legs.
Me: 	(Ah, it's been an eventful day...)
Me: 	(I should go inside.)
Me: 	(Hopefully Eve hasn't been wondering where I am...)
        Me: 	Through which door should I enter?
Narr:	You walk through the front door.
Narr:	At first, you notice no one...
Me: 	Nobody's home...
Narr:	Soon after, however, Eve appears...
Narr:	Confirming your worst fears.
Eve:	Dennis!
Eve:	Where the hell have you been?!
    Me: 	Oh, you know... I've been hanging around camp.
    Eve:	Have you, now?
    Eve:	Please, tell me more about your recreational activities.
    Me: 	Well, there's not all that much to tell...
    Me: 	I've been enjoying the summer sun, mostly.
        Eve:	Care to elaborate in more detail?
                Eve:	The camp IS quite beautiful... Where did you go?
                    Me: 	Well, first I went to the lake. Then to the girls' campground.
                        Eve:	What were you doing at the girls' campground?
                                Eve:	You didn't stop there for a bit?
                                    Me: 	I did. A patient stopped me, and we had a chat.
                                        Eve:	That's nice. Which patient did you talk with?
                                    Me: 	Not really. I only went there to go to the lake.
                                Eve:	You don't have to be so vague with me, Dennis.
                                    Me: 	My day wasn't all that eventful. What more can I say?
                    Me: 	I walked to the lake and sat there a bit, then to the gazebo.
                Eve:	Just walked around? Which area?
                    Me: 	Around. The lake, the campground, and ended in my room.
                    Me: 	I went to the lake, then sat under the gazebo's shade.
        Eve:	Okay...
        Eve:	(What is he trying to hide?)
        Eve:	Dennis...
        Me: 	Yeah?
        Eve:	Why aren't you being truthful with me?
        Me: 	(Shit!)
        Eve:	I really hope you're remaining professional with the patients.
        Me: 	Of course!
        Eve:	Well... If you say so.
        Eve:	(I'll have to keep my eye on him.)
        Narr:	Eve looks down at her phone and then speaks.
        Eve:	Oh. I think it's time we prepare things for the barbecue.
        Eve:	Follow me.
        Eve:	Ah, that makes sense.
        Me: 	Good... Because, usually people misunderstand me...
        Eve:	*Chuckle* Maybe you should learn to enunciate, then.
        Me: 	Ha-ha. You all treat me like some underdeveloped troglodyte...
        Eve:	Oh, come on... We just like to tease you...
        Me: 	And, why is that?
        Me: 	Easy punching bag?
        Eve:	Noooo. No. It's because you've always reacted...
        Eve:	*Chuckle* Even to the littlest things.
        Eve:	Even that first summer you were this way.
        Me: 	And you've all messed with me since.
        Eve:	Well, you know that's what we're here for.
        Narr:	Eve looks at her phone and then speaks.
        Eve:	Oh, would you look at that.
        Eve:	It's time we prepare things for the barbecue!
        Eve:	Please, follow me.
    Me: 	Well, you did tell Kiara, Emily and I to be nice to the patients.
    Me: 	So, I struck up a conversation with Naomi.
    Eve:	I didn't mean you should become besties with them...
    Me: 	I'm not. But, I did think I judged her too unfairly when she arrived...
    Me: 	So, I decided to get to know her better.
    Eve:	That is... good to hear.
    Eve:	(As long as you didn't mess around with her...)
    Eve:	I hope you kept the conversation within The Guidelines.
    Eve:	What exactly were you doing with Naomi?
        Eve:	What exactly were you doing with Naomi?
            Eve:	Well, that sounds fairly ordinary.
                Eve:	Well, that sounds fairly ordinary.
                    Me: 	It was. You think we'd mess around out in the open?
                    Eve:	*Chuckle* God, no. I think you'd have to be insane to do that.
                        Eve:	*Chuckle* God, no. I think you'd have to be insane to do that.
                            Eve:	Are you... trying to make me suspicious?
                                Eve:	Are you... trying to make me suspicious?
                                    Me: 	*Chuckle* No, I was just saying that some people enjoy the thrill.
                                    Me: 	*Chuckle* No, I was just pushing your buttons a little.
                    Me: 	It was. Just a nice chat, showing me that she's actually a kind girl.
            Eve:	May I ask about what?
                Eve:	May I ask about what?
                    Me: 	I just wanted to get a better picture as to who she is.
                    Eve:	For what reason, exactly?
                        Eve:	For what reason, exactly?
                            Me: 	I thought I was being too judgmental of her...
                            Me: 	I just wanted to get to know her better, jeez...
                    Me: 	Questions about her life and hobbies. Typical stuff.
                    Eve:	And, why do you want to get to know her better?
                        Eve:	And, why do you want to get to know her better?
                            Me: 	I mean, isn't it good to get to know the patients?
                            Me: 	Like I said... I felt I was being too judgmental of her.
        Narr:	A look of nervousness and slight panic cross Eve's face.
        Eve:	Some people... enjoy that?
        Eve:	(He couldn't possibly...)
        Me: 	Yeah. Some people like to get real kinky.
        Eve:	That is true...
        Eve:	I have treated my fair share of nymphomaniacs and chronic voyeurs.
        Me: 	(Eve is acting strangely...)
        Narr:	Eve nervously looks down at her phone, before turning to you.
        Eve:	Well, it looks like it's nearly time to prep the stuff for the barbecue.
        Eve:	Please, Dennis. Follow me.
        Eve:	Ah, that all makes sense.
        Me: 	Good... Because, usually people misunderstand me...
        Eve:	*Chuckle* Maybe you should learn to speak more clearly, then.
        Me: 	Ha-ha. You all treat me like some troglodyte...
        Eve:	Oh, come on... We just like to tease you...
        Me: 	And, why is that?
        Me: 	Easy punching bag?
        Eve:	Noooo. Of course not.
        Eve:	It's because you always react so much...
        Eve:	*Chuckle* Even to the littlest things.
        Eve:	You've been like that since the first summer.
        Me: 	And you've always messed with me.
        Eve:	Well, you know that's what we're here for.
        Narr:	Eve looks down at her phone and then speaks.
        Eve:	Oh, would you look at that.
        Eve:	It's time we prepare things for the barbecue!
        Eve:	Come on, follow me.
        Eve:	Is that so...
        Eve:	(I don't buy it...)
        Me: 	Yeah, that's all it was. A simple conversation.
        Eve:	If you say so...
        Eve:	But, to me...
        Eve:	It sounds like you're not telling me everything.
        Me: 	(Shit!)
        Eve:	I really hope you're not messing around behind my back.
        Me: 	Of course not!
        Eve:	Well, okay then.
        Eve:	(I'll have to keep my eye on him...)
        Narr:	Eve looks down at her phone and then speaks.
        Eve:	Oh
        Eve:	It looks like it's time we prepare things for the barbecue.
        Eve:	Follow me.
Narr:	You walk through the back door.
Narr:	At first, you don't notice anyone in the house...
Narr:	However, as you look toward the couch, you notice Kiara relaxing there.
Me: 	(She can't go anywhere this time...)
Me: 	(Time to get that confession.)
Me: 	Hey Kiara, what's up?
Kiara:	*Gasp* Hey, Dennis.
Kiara:	You startled me.
Me: 	Sorry, I didn't mean to sneak up on you like that.
Narr:	You walk over to the couch, sitting down next to Kiara.
Me: 	How's it going, Kiara?
Kiara:	Good, good...
Kiara:	Just relaxing before we have to prep the barbecue stuff.
Me: 	Sounds nice.
Me: 	Mind if I join you?
Kiara:	No, of course I don't mind, Dennis.
Me: 	Great...
Me: 	Hey, Kiara...
Kiara:	Yes... Dennis?
Me: 	Can I ask you something?
Kiara:	Sure... Dennis. What did you want to ask?
    Kiara:	Sure... Dennis. What did you want to ask?
        Me: 	I want to talk about what I found in your room...
        Kiara:	I already told you, someone planted that stuff in my room!
            Kiara:	I already told you, someone planted that stuff in my room!
                Me: 	I originally believed you... but, it doesn't make sense.
                Kiara:	Why would I mislead you?
                    Kiara:	Why would I mislead you?
                Me: 	I know that's not true, Kiara. Why did you do it?
        Me: 	I want to talk about the night I woke up in the forest...
        Kiara:	I already told you, I'm not involved!
            Kiara:	I already told you, I'm not involved!
                Me: 	Look, Kiara... I'm not angry at you... I just need answers.
                Me: 	Things don't just magically appear, Kiara. You know that.
                Kiara:	Dennis... Someone is trying to frame me!
                    Kiara:	Dennis... Someone is trying to frame me!
                        Me: 	I just... You really thought you needed to tie me up?
                        Kiara:	I just... I thought you forgot.
                            Kiara:	I just... I thought you forgot.
                                Me: 	Kiara, I would never forget about that moment...
                                Me: 	Of course not. But, tying me up wasn't right, Kiara!
                        Me: 	Kiara... I just want to know why you'd go that far.
    Narr:	Kiara goes quiet, before tearing up.
    Kiara:	I'm... so, so sorry, Dennis.
    Kiara:	I don't know what came over me...
    Me: 	It's okay, Kiara.
    Kiara:	No, it's not! I shouldn't have done that...
    Kiara:	You must have been terrified...
    Kiara:	...waking up like that.
    Me: 	I was pretty disoriented...
    Me: 	And was scared at first.
    Kiara:	*Sob*
    Me: 	But, it's okay...
    Me: 	I... actually enjoyed the surprise.
    Narr:	Kiara stops crying, a look of hopefulness appears in her eyes.
    Kiara:	Really? You didn't feel violated?
