Me: 	What's wrong with you!?
                                    Narr:	Counting your losses, you begin to make your way to Eve's office.
                                    Narr:	You enter the Community Center, shame written all over your face.
                                    Narr:	The girls are sitting around the table, all of them looking at you. Clearly, they could barely wait for you to come in.
                                    Me: 	(Do they all know what was going on?!)
                                    Me: 	(I don't think I've ever seen Naomi this ashamed. She must feel bad she got me in trouble.)
                                    Me: 	(I guess she's not such an Ice Queen afterall.)
                                    Me: 	(Or maybe she's just sad she had her phone taken away.)
                                    Narr:	Having no strength to linger on the matter further, you approach Eve's office.
                                    Narr:	Pausing in front of the door, you briefly consider if running away would be your best option.
                                    Narr:	You can already see it... Life on the run, living from gas station to gas station, all for the sake of avoiding Eve's wrath.
                                    Me: 	(Get it together. Just relax. I'm sure you can think of an explanation for this.)
                                    Narr:	You reap what you sow, there's no backing out now.
                                    Narr:	You knock twice before entering.
                                    Eve:	Sit down, Dennis.
                                    Narr:	Judging by Eve's serious expression and posture, you can tell that the ruse is up.
                                    Narr:	She knows.
                                    Narr:	Without so much as a word, you move to sit on the chaise, squirming uncomfortably.
                                    Eve:	I believe you have a lot of explaining to do.
                                    Me: 	It's really not as it seems.
                                    Eve:	Oh, it's not?
                                    Narr:	Without giving you a chance to lay out your defense, Eve pulls out Naomi's phone.
                                    Eve:	Care to explain why your erect penis is on a patient's phone?
                                    Eve:	But, even that aside, why does she have a phone on her in the first place?!
                                    Eve:	You were supposed to make sure the girls didn't have any contraband...
                                    Eve:	And yet, here we are, in my office, with a patient's phone and your... appendage on the device.
                                    Eve:	(It's even bigger than I initially thought.)
                                    Eve:	(When did he become so... grown up?)
                                    Narr:	You find yourself at a loss for words, your exploits exposed so blatantly. Finding a valid explanation doesn't come easy to you.
                                    Me: 	Eve... I fucked up... I know I did.
                                    Eve:	That is a severe understatement, Dennis.
                                    Eve:	Tell me the truth, why is your penis on a patient's phone?
                                    Me: 	(Fuuuuuuuck.)
                                    Me: 	You take a deep breath. There was no escape for this.
                                    Me: 	The girls, Eve... They have all been coming onto me.
                                    Eve:	What?
                                    Eve:	(I should've seen it coming, Dennis is, after all, a handsome young man... with quite a tool.)
                                    Me: 	I should have known better, Eve. The guidelines are as clear as day but... they're all so hot.
                                    Me: 	Since me and Jane broke up, I have been struggling.
                                    Eve:	Yes, Dennis, but this is not the way.
                                    Me: 	Eve, don't worry, Naomi isn't going to sue.
                                    Me: 	She has grown quite fond of me.
                                    Eve:	(What is this feeling? Could it be jealousy?)
                                    Eve:	She– she has?
                                    Me: 	Yes, in fact, I think that Naomi getting so close to me has helped her treatment.
                                    Me: 	She has changed for the better.
                                    Me: 	I mean, don't get me wrong, she is still Naomi, but she is not the same Naomi that arrived to this camp.
                                    Me: 	But, me getting close to her... I think it taught her a valuable lesson about caring for others and not just thinking about herself.
                                    Narr:	It seems your little speech has left Eve speechless. For a moment, it appears that you will get away with it all.
                                        Eve:	I don't want this camp sued into the ground, Dennis, and you're certainly not helping.
                                        Eve:	First you eavesdrop on a very private session with Violet, then I find you sending nude pictures to another patient!
                                        Me: 	I know, Eve, it's ridiculous of me.
                                        Eve:	Not to mention, by letting her keep her phone, you've possibly set her treatment several steps backwards.
                                        Me: 	It seemed cruel. Cutting her away from the world, her friends.
                                        Me: 	And, with Violet, I only eavesdropped because I wanted to know more—I care about the girls, Eve, I wanted to help them.
                                        Eve:	I know you do, but you went about it the wrong way.
                                        Eve:	Not to mention, some... personal stuff of mine has been taken.
                                        Me: 	(Oh, no. She can't be talking about the sex toys, can she?)
                                        Me: 	(I knew I shouldn't have trusted Belle with them.)
                                        Me: 	Personal stuff?
                                        Me: 	What do you mean?
                                        Eve:	A box with personal belongings of mine has gone missing from my room.
                                        Eve:	You wouldn't know anything about that, would you?
                                                Narr:	Your heart's beating in your chest loudly as you are faced with the consequences of your actions.
                                                Me: 	(As much as I like Belle, I can't take the blame for this too.)
                                                Me: 	Eve, I really did not know how to tell you this...
                                                Eve:	Tell me what, Dennis?
                                                Me: 	It's Belle.
                                                Narr:	Eve looks at you, brow curving curiously upward.
                                                Narr:	Despite the situation, you've never found the woman sexier than now.
                                                Eve:	Belle?
                                                Me: 	She's been practically throwing herself at me... and two days ago she unveiled the toys– I mean, your personal belongings.
                                                Me: 	I'm sorry, Eve, I didn't want to get her in trouble...
                                                Me: 	We both know WHY she's in this camp, we can't blame her—really.
                                                Narr:	For a moment you see Eve pause, anger turning into pity. As much as she seemed embarrassed while you were telling the story, she knew you were right.
                                                Eve:	I... You're right... I shouldn't have lost my temper like that.
                                                Eve:	Out of all our patients, I think Belle's made the least progress.
                                                Narr:	Eve moves to sit down next to you, pinching the bridge of her nose.
                                                Me: 	We're on the right track with her, I believe. It's only natural that setbacks such as these happen.
                                                Me: 	No one is to blame. Not Belle, you or me.
                                                Narr:	Eve's expression gradually softens, anger subsiding into pity. That silver tongue of yours has gotten through to her.
                                                Eve:	That means you... saw them?
                                                Narr:	You feel a knot building inside your throat, unsure of how to answer the woman.
                                                Me: 	I have, yes.
                                                Eve:	And... what do you think?
                                                Me: 	(Woah, Eve hasn't been this forward in a while.)
                                                Me: 	What do I think? I think there's nothing more attractive than a woman embracing her sexuality.
                                                Eve:	Do you really think so?
                                                Eve:	Does this mean...? No, Eve, don't get your hopes up just yet.
                                                Me: 	Absolutely, girls my age are usually immature about this kind of stuff–
                                                Me: 	Well, with Belle being the exception.
                                                Narr:	At that, Eve chuckles. You note that a smile suits her much better than a frown.
                                                Me: 	(She really has the most beautiful smile.)
                                                Narr:	Your heart's beating in your chest loudly as you are faced with the consequences of your actions.
                                                Me: 	(I can't do this anymore.)
                                                Narr:	You take a deep breath, one that threatens to tear your lungs apart as the truth dances on the tip of your tongue.
                                                Narr:	Eve's iron gaze doesn't leave you for a second.
                                                Me: 	I took the keys from the kitchen.
                                                Eve:	And why, pray tell, did you do that?
                                                Me: 	(Shit, I can't exactly admit that I wanted to snoop, can I?)
                                                Me: 	They were laying around in the kitchen, just sitting in plain sight.
                                                Eve:	I wouldn't exactly say that.
                                                Me: 	Look, if I managed to find them without even trying, imagine how easy it would've been for someone who was actually looking for them.
                                                Narr:	You still don't have the balls to openly admit to your demons, it would seem.
                                                Narr:	But, all in a day's work.
                                                Narr:	Eve's gaze is still as hard as ever, but she remains silent, allowing you to state your case.
                                                Me: 	I took them, and I put them in my room—which was ransacked just last night.
                                                Me: 	Some of my own personal belongings have gone missing as well.
                                                Me: 	I really don't want to point any fingers, I am fully responsible for the keys going missing, since I was the one who moved them in the first place.
                                                Me: 	I'm really sorry, Eve, I should have known better.
                                                Narr:	At that, Eve's expression softens as she moves to sit next to you on the chaise. She pinches the bridge of her nose, letting out a deep sigh.
                                                Eve:	No, Dennis, it's my fault. It was a faulty hiding place I picked. If anyone's to blame, it's me.
                                                Eve:	It was stupid of me to blame you for something like that. You're young and still a student.
                                                Eve:	Thank you for telling me, though. I thought I was losing my mind.
                                                Eve:	The belongings that have gone missing are very... dear to me.
                                                Me: 	(I bet they are, Eve. I bet they are.)
                                                Narr:	It takes all of your self-control to shake the dirty thoughts off, stop them from clouding your senses.
                                                Narr:	Getting an erection right now would be very unfortunate.
                                        Narr:	Eve moves to sit down next to you, pinching the bridge of her nose.
                                        Eve:	This is a mess, Dennis.
                                        Eve:	If anything, I guess I should be thankful that personal belongings aren't going missing like they were when we had male patients around.
                                        Me: 	Well, I can assure you we wouldn't be having this conversation if we had male patients around.
                                        Narr:	At that, Eve chuckles. You note that a smile suits her much better than a frown.
                                        Me: 	(She really has the most beautiful smile.)
                                        Eve:	I will say, though, I'm glad you at least learned how to knock!
                                        Me: 	Come on, Eve, I'm not used to living in a house with three women!
                                        Eve:	Well, you certainly have been getting around...
                                        Me: 	(Wait... is she flirting with me?)
                                        Me: 	(I can't say I never thought of Eve in that light—especially after seeing those photos of her.)
                                        Me: 	(She is a beautiful woman, and I get the feeling she is as touch-starved as she could possibly be.)
                                        Me: 	(Maybe there's something I could do to help her.)
                                    Narr:	Eve sighs, her hand moving to the side of her temple—her index finger moving to rub the side of her head.
                                    Eve:	I know your heart, Dennis. I know you're not some weird creep.
                                    Narr:	While some of your actions beg to differ, Eve knows you well enough to make such a conclusion.
                                    Narr:	It lifts a weight off your chest.
                                    Eve:	Taking in female patients has been an experiment of mine.
                                    Eve:	I wanted to see how a camp made exclusively for women would work and function.
                                    Eve:	That being said, women are also much easier to be taken advantage of, hence the new rule in the guidelines.
                                    Eve:	If it had been anyone else but you, Dennis, they would've gotten fired with the speed of light.
                                    Eve:	But I know you... I've known you since you were practically a child.
                                    Eve:	My head has been killing me all day, which, in turn, means my neck and shoulders are tense.
                                    Eve:	I'm sorry if I lost my temper with you for a moment.
                                    Narr:	You pause, contemplating your next action.
                                    Me: 	(I know just the thing to help her.)
                                    Narr:	You get up from the chaise lounge, extending your hand towards Eve. A bold move, all things considered.
                                    Eve:	What are you doing?
                                    Me: 	You take care of us all. The girls, Kiara, Emily and me... Now let me take care of you.
                                    Narr:	Eve tenses up for a moment but soon relaxes after hearing your words, giving you a small nod of approval and taking your hand.
                                    Narr:	Your hands find their way to Eve's shoulder, pressing into them and relieving them of tension.
                                    Narr:	A small moan escapes the woman as you proceed, causing your dick to stir within your pants.
                                    Me: 	(I've never heard Eve make such sounds. She must really like it.)
                                    Eve:	(God.. He has such talented hands.)
                                    Narr:	You take the sound she makes as encouragement to increase the pressure on Eve's shoulders, pressing harder and harder.
                                    Narr:	The woman's eyes practically roll back at the sensation.
                                    Eve:	Oh, Dennis...
                                    Narr:	Yup. That's all it took to get a full-blown erection... Not like you weren't already on the verge of getting it just moments ago.
                                    Me: 	Am I pressing too hard?
                                    Eve:	No... Mmm... You're perfect.
                                    Narr:	How did you get from getting yelled at to being rock-hard because of your mentor?
                                    Narr:	Whatever the answer, there's no way you're going to complain.
                                    Me: 	(I wonder what else could make her make those sounds?)
                                    Me: 	(I guess she's even more touch-starved than I thought.)
                                    Narr:	Your hands are certainly working overtime with the pressure they are applying, but you wouldn't dare to complain.
                                    Narr:	Hearing Eve making those sounds makes it worth it.
                                    Eve:	Oh, yes. That's the spot.
                                    Narr:	You continue to massage her before your hands eventually drop.
                                    Me: 	Your head any better?
                                    Narr:	Eve's hand reaches to rub the nape of her neck, a faint blush coating her cheekbones.
                                    Eve:	Yes... Much better... It really is much better.
                                    Narr:	She clears her throat, acting like a schoolgirl who has just been caught doing something wildly inappropriate.
                                    Eve:	You may leave, Dennis.
                                    Eve:	(Get a hold of yourself, Eve. You can't rip his clothes off in here — not now.
                                    Me: 	Thanks, Eve. Sorry, once again.
                                    Narr:	Just as you get up and head for the door, Eve's hand grasps your wrist to stop you.
                                    Narr:	Her eyes scrutinize you from head to toe, lingering on your erection.
                                    Eve:	I'm not done with you, though. I can't leave this infraction... unpunished.
                                    Eve:	I think it's about time you and I have a private session of our own.
                                    Me: 	(Hang on... Is Eve really coming onto me right now?)
                                    Narr:	You stare at the dominant woman blankly, unsure of what to say.
                                    Me: 	Y-yes, Eve, I understand.
                                    Eve:	Good. We'll see exactly how well you understand later.
                                    Eve:	(I am going to eat him up.)
                                    Narr:	Eve's eyes wander up your body before tethering themselves to your own.
                                    Narr:	Their softness startling, kindling a warmth within you.
                                    Narr:	You manage a curt nod.
                                    Narr:	Finally, you begin to walk uncomfortably out of her office.
                                    Me: 	(That was too hot.)
                                    Me: 	(Dodged a bullet there. Seems I can massage my way out of things.)
                                    Me: 	(Best I keep that in mind.)
                                    Narr:	The girls are still in the Community center, gathered around their dioramas, whispering between each other.
                                    Naomi:	Is everything okay? Are you in trouble?
                                    Me: 	*Whispering* I better not linger, we'll talk later.
                                    Me: 	See you girls outside in a bit, stay here and wait for Dr. Eve.
                                    svi:	See ya' Dennis!
                                    Me: 	Well, shit.
                                    Me: 	(Guess it was only a matter of time.)
                                    Me: 	(Dunno what got me more stressed, having a session with Eve later or Eve clearly hitting on me and making me hard!)
                                    Me: 	(Maybe she could help with that boner of mine appearing every so often?)
                                    Me: 	(*Imitating Eve* "Dennis, it's perfectly normal for a man of your age to experience boners.")
                                    Me: 	("It's a sign of a healthy libido and there's nothing to be ashamed of. ")
                                    Me: 	(But I bet she could teach me things...)
                                    Narr:	You're stirred out of your fantasizing by the girls' arrival at the patio.
                                    Narr:	They're followed by Eve, with a stern look on her face.
                                    Narr:	Emily is also here, cheerful as always.
                                    Me: 	(No way, I'm not giving her the satisfaction.)
                                    Narr:	You shift uncomfortably, deciding against sending Naomi a picture of your stiff cock.
                                    Narr:	Naomi looks at you, rolling her eyes in disappointment before hiding her phone.
                                    Me: 	(I deserve a reward for the amount of self-control I display time and time again.)
                                    Narr:	Always the most self-aware of us all, you begin to sneak away from the window the same way you came from.
                                    Me: 	(I should go back. There's hardly anything interesting about watching them make paper maches.)
                                    Narr:	Taking your losses one day at a time, you sneak back the same way you came from.
                                    Me: 	(I should probably check what Kiara is getting up to.)
                            Me: 	(I really shouldn't encourage her to keep looking at it. It's better if I don't type her anything.)
                            Narr:	Eventually, Naomi truly does pocket her phone, yawning.
                            Narr:	She shifts her attention back to Eve and the paper mache she is holding.
                            Me: 	(Man, I sure am glad I'm not in their shoes right now...)
                            Narr:	Slowly, but surely, you begin sneaking back the way you came from.
                            Me: 	(I should probably go and check on Kiara instead, I'm sure she's doing something far more interesting.)
                            Me: 	(Kiara's probably in her room, doing whatever Kiara does in her spare time.)
                            Me: 	(Did she even have spare time today?)
                            Narr:	With that, and a noble idea of entertaining her with your company, you ascend to the second floor.
                            Me: 	Hey, Kiara!
                            Kiara:	Hey, Dennis.
                            Kiara:	What are you doing here? Eve doesn't have an errand ready for you?
                            Me: 	I have some free time, so I decided to see what you're up to.
                            Kiara:	I'm kinda in the middle of something...
                            Kiara:	But sure, guess you can keep me company.
                    Me: 	I don't feel like spying on the girls listening to a boring lecture.
                    Me: 	Where might Kiara be...
                    Kiara:	Hey, Dennis.
                Narr:	You got startled. Not just by Kiara, but by the thought of having the power to summon her.
                Me: 	Oh, hey, Kiara, didn't even see you sneaking up on me there.
                Kiara:	I wasn't sneaking.
                Kiara:	It's just that…
                Kiara:	You're always so preoccupied with daydreaming about the patients here, that you barely notice what's right in front of you.
                Me: 	Kiara, really... is being bitter your default state?
                Kiara:	My defau...!?
                    Kiara:	(Don't flip out on him, he did help with the supplies. Even though he can be a douche, he's a good guy overall.)
                    Kiara:	Let's just drop this, okay?
                    Me: 	Sure. Sorry for calling you bitter.
                    Kiara:	Nevermind, let's just drop it.
                    Kiara:	I've given you ample opportunities to show me you're not the guy I think you are.
                    Kiara:	And you somehow manage to screw up each time.
                    Kiara:	You're part of the reason I'm so done with all of this.
                    Kiara:	And what about you?
                    Me: 	What about me?
                    Kiara:	You were soooo kind to offer help with all the supplies I hauled from the city.
                    Kiara:	A real gentleman.
                Kiara:	What are you doing here anyways? Weren't you supposed to be with Eve and the girls?
                Me: 	They're attending Eve's lecture at the community center.
                Kiara:	They have to sit through one of Eve's boring lectures? Poor girls.
                Kiara:	They don't have any idea what she has in store for them.
                Kiara:	Do they have a workshop as well?
                Me: 	God, I hope not.
                Narr:	It's like any existing tension between you two was exorcized.
                Narr:	You were sent back in time, back to the memory when you had to endure Eve's lectures.
                Me: 	Remember when she made us do paper mache dioramas?
                Kiara:	Haha, my group had to make a diorama about making dioramas.
                Me: 	How she comes up with those, I'll never know.
                    Kiara:	You know what, Dennis?
                    Kiara:	Albeit fun, I'm tired of reminiscing here on the stairs.
                    Kiara:	I have things to do and I better get to it.
                    Kiara:	I'm sure you have some plans of your own.
                    Narr:	She waves you goodbye and goes back upstairs.
                    Me: 	(Wasn't she going downstairs? Why would she go upstairs again?)
                    Me: 	(I'll never understand girls.)
                    Narr:	A monstrous yawn catches you by surprise. It seems you really had a bad night's sleep.
                    Me: 	(I could crash on the couch for some power nap, but I'd risk someone waking me up.)
                    Me: 	(Can't say that I feel safe from that even in my room, but it's better than being here in the open.)
                    Kiara:	You know what, Dennis?
                    Kiara:	It's stupid we're reminiscing here on the stairs.
                    Kiara:	I would really like to talk with you, away from any possibly curious minds.
                    Kiara:	Would you join me upstairs?
                        Kiara:	Would you join me upstairs?
                            Me: 	(Wonder what that means?)
                            Me: 	(I'm probably reading too much into it.)
                            Me: 	Sure, what do you have in mind?
                            Kiara:	Well, since you have time to spare and you're not chaperoning any of the girls, you could keep me company upstairs.
                            Me: 	Sure, I have time. Lead the way.
                            Me: 	(Wonder what that means?)
                            Me: 	(I'm probably reading too much into it. And to be honest, I'd rather chill in my room than deal with Kiara.)
                            Me: 	Thanks, but I'm beat. Didn't sleep all too well, so I'm gonna go and get some shut-eye in my room.
                            Kiara:	Hmm, okay, whatever suits you.
                            Narr:	As Kiara is about to enter her room, she stops for a second, hesitating.
                            Narr:	Your eyes meet hers before she finally enters her room.
        Narr:	You follow Kiara inside, and you're welcomed by an almost empty room.
        Narr:	Sure, there's still a sheet on the bed, but the rest of it feels so vacant.
            Me: 	(It's even emptier this time. It's just walls now.)
            Me: 	Heh, I could swear something is different about your room.
            Me: 	I just can't put my finger on it... but it looks like I could switch rooms now.
            Me: 	Did we have a break in?! Where's all your stuff?
            Kiara:	*Laughs* No, Dennis, there was no break in.
            Me: 	*Jokingly* Are we switching rooms then? I've always liked the color palette of your room.
        Kiara:	Haha, can you imagine that?
        Kiara:	Spending your summer in this room?
        Me: 	To be honest, I'm hardly ever in my room. There's always something to do around the camp.
        Kiara:	I'm sure.
        Me: 	But, tell me you don't find it interesting how you and Emily have those pink painted walls, while my room is blue.
        Kiara:	You're looking for something that isn't there, Dennis.
        Kiara:	It's not the first and only time we're here.
        Kiara:	And, for some of us, it might be the last.
            Me: 	So, your mind is set? You're definitely leaving?
            Kiara:	As I told you, it's set. I have a job and a place to stay.
            Kiara:	Not a lavish house like this, but something that I can call my own.
            Me: 	Can't you at least stay until the girls are gone?
            Me: 	Could really use your help here.
            Kiara:	Like you needed my help so far?
            Kiara:	You're gonna be fine. You're all gonna be fine.
            Kiara:	And it's not like I'm gone already. I'm still gonna be here today.
            Me: 	Last? You're leaving us?
            Kiara:	It's time, isn't it? I feel like I've worn out my welcome here.
            Me: 	C'mon, that's nonsense. A lot of us count on you being here.
            Kiara:	I just think I'm done with all of this.
            Kiara:	There's no point in trying to convince me otherwise, Dennis.
        Me: 	We've known each other long enough, I believe you.
        Kiara:	Thanks, Dennis.
        Me: 	I would offer to help you pack, but it seems you didn't waste any time.
        Me: 	That eager to leave?
        Kiara:	Judging by the day Eve has planned, I might not have any time for it later.
        Kiara:	So, I decided to get the packing part out of the way.
        Me: 	Do you need help with anything else?
        Me: 	Or are you already one foot out the door?
            Narr:	Her hug is full of warmth. Your time together was turbulent, to say the least, but you're not one to hold a grudge.
            Narr:	Although, you'll never forget she needlessly tied you to a tree.
            Kiara:	Thanks for everything.
            Narr:	You both hold onto each other in silence for a few more moments, saying your goodbyes. You're gonna miss her.
            Me: 	I'm gonna miss you, Kiara.
            Narr:	She smiles, and you can almost see a glimmer in her eyes.
            Me: 	Don't forget to say goodbye before you go.
            Kiara:	I won't, I promise! See you later.
            Me: 	(Can't believe Kiara's leaving. It's gonna be so strange without her.)
            Me: 	(Dunno if Emily knows. That would explain her being so cheery today.)
            Me: 	(What am I thinking... Emily is always like that.)
                Me: 	(What am I thinking... Emily is always like that.)
                    Me: 	(That couch will be all mine! I'll unwind the best watching some TV.)
                    Narr:	The living room is bound to be empty.
                    Narr:	The very idea of you just lying there with something stupid on TV is making you giddy.
                        Me: 	(Simple pleasures, simple pleasures.)
                        Narr:	The living room appears empty.
                        Narr:	There's not a voice to be heard, except for the distant murmur of the girls trapped in Eve's workshop.
                        Me: 	Hello?
                        Narr:	...
                        Me: 	Fair enough.
                        Narr:	Feeling free, you jump over the couch's backrest.
                        Me: 	I lay claim to this couch!
                        Me: 	There are many couches like this, but this one is mine!
                        Me: 	Now, where's that remote?
                        Narr:	You flip the channels; nothing interesting catches your attention.
                        Me: 	(There's so many documentaries and entertainment channels.)
                        Me: 	Oh, this looks interesting.
                        Narr:	But, it wasn't. You continue flipping through the channels, in search of something entertaining.
                        Me: 	There's absolutely nothing on TV.
                        Me: 	I'm so bored...
                        Emily:	Let me entertain you then!
                        Narr:	Before you can stir out of the torpor inflicted upon you by the TV, Emily is already flying over the backrest.
                        Narr:	Straight into your lap.
                        Me: 	Oooompf!
                        Me: 	(Not this again.)
                        Emily:	Let me find something that we can watch together.
                        Me: 	(So much for my free time.)
                        Narr:	Emily is switching channels so fast, you're amazed at how she's even able to recognize what's playing.
                        Emily:	Have you watched this one?
                        Narr:	She found some teen movie playing and she's still nestled in your lap.
                        Me: 	Em... Wouldn't it be better if you sat beside me, instead of on me?
                        Emily:	Better for who?
                        Me: 	(It's like everything I say just encourages Emily further. I'll just ignore her and see what happens.)
                        Me: 	Okay, forget it then, lets just watch the movie.
                        Narr:	The movie is just another run of the mill, generic, teen romcom. You can stomach this as long as there's no singing.
                        Emily:	This is my favorite part.
                        Me: 	(Oh my god, they're singing!)
                        Me: 	(But, Em seems to enjoy this. I'd rather not ruin her fun.)
                        Me: 	(I should cut her some slack, she's actually a great girl-)
                        Narr:	Emily, as if stirred by your thought, puts her arm behind you.
                        Me: 	*Gulp*
                        Emily:	This is the boring part... (So, let's make it interesting.)
                        Narr:	Emily is slowly grinding on you and you can feel the encroaching hard-on.
                        Me: 	Emily! (Not this again!)
                        Stacy:	I apologize if I'm interrupting something...
                        Emily:	Weeeell...
                        Me: 	No, no, you're not interrupting anything, Stacy.
                        Stacy:	I'm just looking for the toilet.
                        Me: 	It's on the second floor, first door once you climb the stairs.
                        Stacy:	Thanks. Well... bye.
                        Narr:	Stacy goes upstairs and you're alone with Emily again, smiling.
                        Emily:	Sooo...
                        Me: 	So, how does the movie end?
                        Emily:	Oh, I don't know. I never managed to finish it.
                        Emily:	Hopefully, one of these days, I will.
                        Me: 	(Simple pleasures, simple pleasures...)
                        Narr:	The living room is not empty. Emily is sitting there, watching some docuseries on the TV.
                        Emily:	Hey, Dennis.
                        Narr:	An idea pops into your head. Time for payback!
                        Me: 	BOMBS AWAAAAAY!
                        Emily:	Eeeeeek!
                        Narr:	Emily manages to avoid you by a hair's breadth and you land on the couch.
                        Emily:	Haha, Dennis, you're insane!
                        Emily:	What if you landed on me?
                        Me: 	Then I would have something soft to land on.
                        Me: 	(Sorry, couch, but you're not as cozy as you used to be.)
                        Emily:	Well, you made me miss some important plot points.
                        Me: 	A plot point in a documentary? Are you serious, Em?
                        Emily:	Who says there isn't one?
                        Me: 	What are you doing here, anyways? Weren't you taking a stroll around the camp?
                        Emily:	I did. And, I've even managed to break my personal record in skipping stones.
                        Emily:	I did nine skips!
                        Me: 	I don't believe you.
                        Emily:	Believe what you want, it doesn't change the fact that I did eight skips.
                        Me: 	Ha! You just said you did nine!
                        Emily:	I'm just testing you to see if you're listening to me, Dennis. And, whether or not you're paying enough attention to me.
                        Emily:	What did you do to pass the time?
                        Me: 	Had quite an uneventful trek around the house.
                        Me: 	Did run into Kiara, though.
                        Emily:	*Frowns* Eh, who cares about her anyways.
                        Me: 	Did you know she's leaving camp?
                        Narr:	Emily's face suddenly lights up, her frown gone in a second.
                        Emily:	That's such a shame. I'm devastated.
                        Me: 	C'mon, I know you two weren't on the best of terms, but there's no need for that.
                        Me: 	You can admit you'll miss her.
                        Emily:	Miss her? Hardly. Why would I miss her always undermining me, not taking me seriously and not paying any attention to me?
                        Emily:	I'll still have you for all that.
                        Me: 	*Jokingly* Ouch, that's harsh.
                        Me: 	I better step up or I might end up like Kiara.
                        Emily:	Oh, you wouldn't want that.
                            Emily:	But, I think I know what I want.
                            Me: 	Are you sure?
                            Emily:	Mhm.
                            Emily:	Anything comes to mind about that favor I owe you?
                            Me: 	A few things come to mind.
                            Emily:	Mhm.
                        Stacy:	I apologize if I'm interrupting something...
                        Emily:	Weeeell...
                        Me: 	No, no, you're not interrupting anything, Stacy.
                        Stacy:	I'm just looking for the toilet.
                        Me: 	It's on the second floor, first door once you climb the stairs.
                        Stacy:	Thanks. Well... bye.
                        Narr:	Stacy goes upstairs and you're alone with Emily again, smiling.
                        Emily:	Sooo...
                        Me: 	So, what do you have in mind?
                        Emily:	Oh, I don't know, I don't like starting something I can't finish.
                        Emily:	Hopefully, one of these days, I will.
                    Eve:	Emily, Dennis, great that you're both here. After Stacy comes back, meet us at the Community area patio.
                    Eve:	I'll be there with the rest of the girls.
                    Me: 	Okay, Eve. We'll wait for Stacy and meet you there.
                    Narr:	Emily is silent and purposefully avoiding Eve's gaze.
                    Emily:	About—
                    Stacy:	Hey, did I just hear Eve in here? I didn't take too long, did I?
                    Me: 	Don't worry about it, Stacy. She just came to say we're all to meet with her at the patio.
                    Stacy:	Errr, you guys ready to go now, or...?
                    Me: 	Sure, we can go now (I'd rather not make Eve wait).
                    Narr:	You, Emily and Stacy make your way to the Community area and an eerie silence follows you.
                    Emily:	...
                    Me: 	...
                    Stacy:	...
                    Me: 	(What's going on? Usually, neither Emily, nor Stacy, can stop talking.)
                    Me: 	(Why are they so quiet all of a sudden?)
                    Me: 	(It's like they don't even know each other...)
                    Narr:	Your pondering over what's going on is put on hold as you get nearer to Community area.
                    Me: 	(Thank god it's a short walk.)
                    Me: 	(I should seek the sanctuary of my room.)
                        Narr:	Ah, the sanctity of your room. Wait, wasn't there a time when you found a naked girl waiting for you in bed or?
                        Narr:	Not much of a safe haven, is it?
                        Me: 	What to do, what to do...
                        Narr:	The bed looks so tempting. You could just close your eyes and drift away from any responsibilities, away from all the what if's.
                        Narr:	Or, you could play some League of Luminaries. That could be fun.
                        Narr:	Or, you could play some League of Luminaries. That could be fun.
                            Me: 	(Since I can't have a good night's sleep, I have to resort to this.)
                            Me: 	(I'm in my early twenties and going to bed around noon.)
                            Me: 	(What have I become...)
                            Narr:	You close your eyes and your mind immediately starts rewinding past camp events.
                            Narr:	Each girl invades your thoughts, teasing you.
                            Me: 	(Mmmm, Naomi...)
                            Me: 	(Belle, you naughty girl...)
                            Narr:	All the images infesting your mind are making you hard. You unzip your pants with a clear intention.
                            Me: 	(Can't sleep with a hard-on, can I?)
                            Narr:	With your cock now in hand, you continue your fantasy.
                            Me: 	(Violet, those tits of yours...)
                            Me: 	(Stacy, how can I forget that firm, tiny ass of yours...)
                            Me: 	(Hmmm, how about...)
                            Narr:	Other girls sneak into your imagination as well.
                            Me: 	(Oh. Eve. I hope you have another chore for me...)
                            Me: 	(Em.)
                            Narr:	A pang of guilt hits you. You never looked at Emily that way.
                            Narr:	But, she was always like that. A beautiful, stunning, sexy girl.
                            Narr:	She was trying to gain your affection ever since you arrived. Yet only managed to scramble your brain this morning.
                            Emily:	(Dennis, why don't you wanna spend more time with me?)
                            Emily:	(Don't you think I'm hot?)
                            Me: 	(Shiiiit.)
                            Me: 	I just can't get her out of my head.
                            Me: 	(Empty your mind, Dennis. Remember the meditation exercise Eve once taught you.)
                            Narr:	A few moments pass as you concentrate on your breathing.
                            Me: 	(Wow, it actually works. I have to thank Eve for teaching me this.)
                            Me: 	(I feel relaxed and not as tired as before.)
                            Me: 	(I feel like kicking some ass in a match, or two.)
                            Me: 	(This should be fun.)
