Me: 	*Mumbles* Whazza... Huh? Where am I?
                Me: 	(Is that a BUTTPLUG!?)
                Me: 	(She does ANAL!?)
                Me: 	(This is too much, man. I'm getting dizzy...)
                Narr:	Closing the phone, you head for the door.
                Narr:	You leave the office and continue walking down the hallway toward the house...
                Narr:	Lost in thought, thinking about Eve's delicious tits, you don't notice her coming in your direction...
                Eve:	Hey, daydreamer.
                Me: 	*Gasp*
                Narr:	Encountering Eve, you get startled back into reality.
                Me: 	H-Hey, Eve...
                Eve:	*Chuckle* You're so funny when you're scared.
                Me: 	*Chuckle* Yeah... (Just my luck.)
                Eve:	(Oh, wow, he has an erection again.)
                Eve:	(Heheh, hard to hide a bulge with a dick that big.)
                Eve:	Done cleaning? (I wonder what it is that made him hard...)
                Me: 	Y-Yeah, all done. (Shit, I still have an erection. I better keep this talk short.)
                Eve:	Something wrong? (He's visibly squirming, something must have happened...)
                Me: 	No, no, all good, no.
                Me: 	Why do you ask? (She's reading me like an open book, I need to end this conversation before she puts two and two together.)
                Eve:	I don't know, you seem distracted. (A lot of thoughts on your mind, huh?)
                Me: 	Anyway, I found your phone in the office... Under the desk...
                Me: 	While cleaning... (White lies, white lies, white lies...)
                Eve:	So that's where it was. (Wait, no he didn't...)
                Eve:	(Is that why he's so nervous? Because he snooped through my phone and saw the photos?)
                Eve:	(Is this erection because of me?)
                Me: 	I-I gotta go now. See ya' later!
                Narr:	Unexpectedly, Eve hugs you and gives you a kiss on the cheek.
                Eve:	Thanks for being such a hard worker, I appreciate it. (He got hard after seeing my naughty gallery, I'm sure of it!)
                Eve:	(His hard dick says it all...)
                Eve:	(Honestly, I find that quite interesting.)
                Eve:	(I can barely bring myself to admit it, but... i-it's actually a turn-on...)
                Eve:	(I wish I could touch it, at least once.)
                Eve:	Hmm... (Maybe I can, at least a little bit...)
                Eve:	I'll see you later, then. I still have some things to do.
                Me: 	(Belle's obviously pulling my leg, anyway.)
                Me: 	(She's so full of shit...)
                Me: 	*Chuckle* (The pictures on my phone are far worse than this.)
                Me: 	(Whatever, I've seen enough...)
                Narr:	Locking the phone, you head for the door.
        Me: 	(Even though I'm curious... Not sure if I wanna know.)
        Me: 	(Plus, it's pretty shitty to invade someone's privacy like that.)
        Me: 	Fuck that. (I respect Eve too much.)
        Me: 	(I'm not lowering myself to Belle's level...)
        Narr:	You leave the office and continue walking down the hallway toward the house...
        Narr:	Along the way, you spot Eve coming in your direction...
        Eve:	Done cleaning?
        Me: 	All done.
        Eve:	Awww, thank you. (He's so reliable and sweet.)
        Eve:	You're such a hard worker.
        Me: 	*Chuckle* Quit it.
        Eve:	I need to get something from the office.
        Eve:	I'll see you later.
        Me: 	Wait, I almost forgot...
        Narr:	You hand Eve her phone.
        Me: 	I found it in the office while I was cleaning. (White lies, white lies...)
        Eve:	So that's where it was. Thanks. (This might be a problem.)
        Eve:	I hope you haven't been snooping through my phone.
        Me: 	No, of course not. (She looks serious.)
        Eve:	Well, that’s good. For a second there, you had me worried. *Chuckle* (Phew...)
        Me: 	(Interesting choice of words...)
        Eve:	Anyway, I'll be in the office if you need me.
        Me: 	Okay. (This is making me suspicious.)
        Me: 	(What if Belle's right?)
        Me: 	(Judging from Eve's reaction, that seems to be the case...)
        Me: 	(Damn, I should've looked for more evidence.)
        Me: 	...
        Me: 	(Although, this isn't that bad either...)
        Me: 	(Maybe I could've seen that thicc ass naked...)
        Me: 	(Ahh, fuck! Why do I keep fantasizing about her!? That's just so weird.)
Narr:	Walking through the house, you bump into Emily again...
    Me: 	Guess what? You lost. (And now to rub it in...)
    Emily:	Did I now? (Looks like he decided to put in the extra effort just to rub it in my face.)
    Me: 	It's not even afternoon, but I'm done with all the tasks.
    Me: 	Seems like I won our little bet.
    Emily:	I'll believe it when I see it.
    Me: 	Then go and take a look.
    Emily:	Maybe I will. *Chuckles*
    Me: 	"You WILL"? Did I hear that correctly?
    Me: 	It sounds like you're trying to back out.
    Emily:	Nothing wrong with checking to make sure you weren't cheating.
    Me: 	I always play fair.
    Emily:	We'll see...
    Emily:	Catch ya later, [m!t]!
    Me: 	(Shit, it's Emily.)
    Me: 	(I can already picture her face when she finds out she won...)
    Me: 	*Sigh* (Let's just get this over with.)
    Emily:	Something wrong?
    Me: 	Uhh, not really. (Wait for it, wait for it...)
    Emily:	You look all flustered, [m!t]. Hope you're not working too much.
    Narr:	Without saying another word, Emily continues on her trajectory.
    Me: 	(Did she just... Forget?)
    Me: 	(How could she forget!? I thought it would've been the highlight of her day...)
    Me: 	(I shouldn't get too complacent, she'll bring it up sooner or later, I can tell.)
    Me: 	*Sigh* Can't wait...
Narr:	As you leave the house, you hear the girls shouting and making noise.
Me: 	(They sound like they're having fun.)
Me: 	(I wonder what they're doing...)
Narr:	As you get closer, you notice the girls playing volleyball.
Naomi:	Alright Stacy, time to turn this around...
Belle:	Only thing that’s gonna turn is your head when the ball whooshes past it.
Violet:	HAH! Good one!
Violet:	I wonder if she'll get it over the net this time. *Chuckle*
svi Hahaha!
Naomi:	*Grunt* I'll show you...
Naomi:	DIE!
Me: 	(Wow, they sure are having fun...)
Violet:	Get it!
Belle:	Aye, aye!
Me: 	(And look, Belle's not naked anymore...)
Me: 	(Or, at least, not as much.)
Belle:	Whoops, sorry!
Violet:	Good enough!
Naomi:	Do NOT let the ball fall!
Stacy:	*Stare*
Violet:	KIAI!!!
Naomi:	*Grunts* Humpfff!
Me: 	(Wow, I didn't expect Naomi to give it her all...)
Naomi:	...
Me: 	(Even though she's getting wrecked.)
svi Wooo!
Naomi:	*Grunt*
Stacy:	Look.
Naomi:	[m!ut]!
Belle:	Ooohhh, a spectator!
Naomi:	Excellent, you're just in time...
Me: 	Time for what?
Naomi:	Volleyball, duuuuh.
Me: 	But it's two on two already. I'd just upset the balance.
Naomi:	And that's exactly what we need!
Me: 	I don't get it.
Belle:	*Chuckle* They're losing, like, forty to zero!
Naomi:	Shut up! You're not doing anything.
Belle:	Hahaha, that's what makes it even funnier!
Me: 	So, Violet's been destroying you?
Violet:	Hellooo.
Naomi:	Listen, [m!ct], I don't care about winning or anything. 
Naomi:	I just want to score at least one point against that gorilla. Just one.
Naomi:	I can't let her humiliate me like this.
svi Weeeee!
Me: 	*Chuckle* Forty to nothing does sting.
Naomi:	So, are you helping or not?
Me: 	Alright, I'll do it. Let me just get my shorts.
Naomi:	Great!
Narr:	You rush to your room and change into swimwear.
Narr:	As you return, Naomi notices you immediately.
Me: 	Ready.
Naomi:	Finally!
Naomi:	Stacy! Get off the stage!
Stacy:	Okay. May the flame spirit guide you.
Naomi:	*Scoff* She's such an airhead.
Me: 	Don't blame me if we lose.
Naomi:	Then I won't reward you if we win. *Wink*
Me: 	*Chuckle* Alright.
Violet:	Ready?
Me: 	Do it!
Violet:	Hummf...
Violet:	KIAI!
Me: 	Got it!
Naomi:	Smash it!
Me: 	HAAAA!
Violet:	Not on my watch!
Narr:	Violet blocks your killer shot...
Narr:	And Belle sets the ball up for Violet's spike...
Narr:	Just before she slams it back onto your side of the field, you and Naomi get ready to catch it.
Violet:	TAKE THIS!
Narr:	Both of you react as soon as possible...
svi I got it!
Narr:	Losing your balance, you slam into each other...
Narr:	The blow knocks you on the ground, and swipes Naomi's bikini off.
Narr:	She starts falling onto you before you could say anything or react.
Narr:	Her bare tit ends up in your mouth, pressed down on your face.
Narr:	You get a good taste of her nipple in that brief moment.
Narr:	It was enjoyable as much as it was surprising...
Belle:	Hahaha! Violet, look!
Belle:	[m!ct]'s being breastfed!
Violet:	*Chuckle* How embarrassing.
Violet:	(We scored, but it feels like Naomi won...)
Naomi:	S-S-Sorry...
Me: 	I'm sorry, it was a complete accident!
Belle:	I'm sure [m!ct]'ll want to play again tomorrow.
Belle:	*Wink* But he's definitely playing on my team.
Naomi:	*Silently* Fuck this... (This is so humiliating.)
Narr:	Clutching her breasts firmly, Naomi gets up and starts leaving.
Me: 	Hey, where ya' going?
Naomi:	Anywhere but here!
Me: 	Naomi, come on...
Belle:	Just leave her. She'll get over it.
Violet:	Talk about touchy...
Me: 	I can't leave her like this, I feel bad.
Violet:	It's not your fault, she's the one who can't take a joke.
Belle:	Yeah, you should stay and have fun with us.
Belle:	Stacy can play again.
Belle:	Isn't that right, Stacy?
Stacy:	Huh?
Me: 	I'm sorry, but it wouldn't feel right.
Me: 	I'll go and try to talk to her.
Narr:	Determined, you follow Naomi back to her cabin...
Belle:	Now we're disappointed. BOOO!
Violet:	Tsk, playing favorites...
Narr:	Ignoring the other girls, you leave and head to Naomi's cabin.
Me: 	Naomi? It's me.
Me: 	Can I come in?
Me: 	...
Me: 	(Is she sulking so much she won't even talk to me?)
Me: 	Listen, I'm sorry for what happened.
Naomi:	What are you sorry for? It was an accident.
Me: 	I don't know. The girls were teasing you, and you didn't like it...
Me: 	I just couldn't let you leave in such a bad mood.
Narr:	You could clearly see the surprise on Naomi's face after hearing your words.
Naomi:	(He's worried about me? No one's ever worried about me.)
Naomi:	(It feels kinda nice... Warm.)
Me: 	Can I come in?
Narr:	Naomi weighs her options for a second...
Naomi:	Come in.
Narr:	Before letting you in.
Me: 	So, what was all that about?
Naomi:	They kept trash-talking...
Me: 	They were just teasing you, Naomi. They didn't mean anything by it.
Me: 	It's just the competitive spirit of sport, that's all.
Naomi:	I'm aware...
Me: 	Then why did you run away?
Naomi:	I didn't run away!
Naomi:	I just couldn't listen to it anymore...
Naomi:	It brings back bad memories.
Me: 	What memories?
Naomi:	You really want to know?
Me: 	Yeah, I wouldn't ask otherwise.
Naomi:	Hmm, you're full of surprises, [m!ct].
Naomi:	*Sigh* If you must know...
Naomi:	They remind me of my mom.
Me: 	Did she do something to you?
Naomi:	Yeah, you could say that.
Naomi:	She's the reason I'm in this shithole...
Naomi:	No offense.
Me: 	None taken.
Naomi:	I did something stupid...
Naomi:	And... Let's just say I went against her wishes.
Naomi:	She threw me to the wolves so she could keep sailing around on yachts drinking champagne and sucking dick.
Naomi:	Fucking bitch, I'll never forgive her.
Me: 	I still don't see what that has to do with Violet or Belle. (Her mom sounds like some high-end prostitute...)
Naomi:	My mother doesn't have a very high opinion of me...
Naomi:	And she makes damn sure I don't forget that.
Me: 	Wow, that's harsh. Sorry to hear it... (And a bitch, to boot.)
Naomi:	*Sigh* It's fine.
Naomi:	I stopped listening to her when I was fourteen.
Me: 	Then, don't listen to the girls' trash-talk.
Me: 	They're just having fun, and I'm sure they want you to be a part of it, too.
Naomi:	Yeah, I guess you're right...
Narr:	Your efforts reveal a gentle smile on Naomi's lips.
Narr:	There was a brief moment of honesty, of appreciation...
Naomi:	Sooo...
Naomi:	Wanna suck on my tits some more?
Me: 	*Chuckle* That's the Naomi I know.
Me: 	Maybe some other time.
Naomi:	*Chuckle*
Naomi:	I will hold you to that.
Me: 	Alright, let's find the rest.
Naomi:	You go on ahead, I'll catch up.
Me: 	Okay, don't leave us hanging.
Narr:	Leaving the cabin, you look for the girls...
Narr:	As you approach the lake, you spot them hanging out on the dock.
Me: 	(There they are.)
Narr:	They wave you over.
Me: 	(Guess it's not all that bad, being here at the camp...)
Me: 	(I'm having fun with beautiful women every day...)
Me: 	(Even though they all have a few screws lose.)
Violet:	So, how'd it go?
Me: 	It went well. She said she'll join us soon.
Belle:	Well, I'm not waiting for her... it's fucking hot.
Stacy:	I'm good.
Belle:	Of course YOU'RE good. You probably bathe in fire every day.
Stacy:	Not every day...
Belle:	I rest my case.
Me: 	What are we doing anyway?
svi SWIMMING!
Me: 	*Chuckle* Wouldn't mind going for a swim, yeah.
Belle:	I'm diving in! Later, nerds!
Narr:	Belle's closest to the edge, so she jumps into the lake first.
Stacy:	Me next!
Narr:	Stacy pinches her nose, closes her eyes...
Narr:	And clumsily throws herself off the pier.
Belle:	Ahhhh, cold, liquid bliss...
Violet:	Wanna go next?
Stacy:	COOOOLD!
Me: 	Go ahead.
Violet:	Alright.
Narr:	Violet takes a running start...
Narr:	And catapults herself off the pier...
Narr:	Gracefully swan-diving into the lake.
Me: 	(Damn, sick jump.)
Belle:	Hmm? (Hey, that's Violet's bikini!)
Belle:	Stacy, come take a look at this...
Stacy:	Is that a bikini?
Belle:	*Chuckle* It's Violet's bikini.
Stacy:	I'm sure it's very freeing. I think I'll..
Belle:	Wait! Before you whip your tits out again...
Belle:	I think I have an idea. Follow my lead.
Belle:	Wooow, Violet. That was such a cool jump.
Belle:	Can you do it again?
Stacy:	(I see...)
Stacy:	Yes, may you show us again? It looked wondrous.
Violet:	Really? Okay, I'll dive in again.
Violet:	Just give me a second.
svi *Giggling*
Me: 	(What are they talking about?)
Narr:	Violet's feet touch the bottom, and she starts walking towards the shore...
Narr:	Unaware that her bare tits are slowly emerging from the water, as well.
Narr:	Giving everyone an opportunity to get a better look.
Me: 	(She has no top on!)
Me: 	(Damn... Violet has some serious knockers.)
svi Hahahaha!
Violet:	What are you laughing at?
Belle:	Aren't you missing something?
Violet:	What, I'm just wearing--
Violet:	EEEEEEK!
Me: 	*Chuckle* Sorry...
Me: 	(Those two are losing their minds.)
Me: 	(Fuck, I'm hard again...)
Me: 	(Lake, shield my raging boner!)
Narr:	You dive in the water, joining the girls.
Me: 	*Inhale*
Belle:	Oh, hello. When did you pop up?
Me: 	I was eager to cool myself off.
Belle:	Were you now? (I wonder if Violet caused a reaction...)
Belle:	Let me check something out...
Narr:	Belle firmly grabs your underwater hard-on.
Me: 	Hey, what are you doing!?
Belle:	*Giggle* I knew it! You got hard!
Me: 	Stop it, I'll drown--
Belle:	Stacy, come look at this!
Violet:	*In the distance* Can you give me back my top?
Stacy:	What?
Belle:	Come, give me your hand.
Stacy:	Huh, what for?
Violet:	*In the distance* Guuuys, hellooo!?
Me: 	*Inhale* Belle! *Gurgle*
Belle:	Wanna touch [m!ct]'s dick?
Stacy:	Hmm...
Stacy:	Why not?
Narr:	You resurface for air just as Belle lets go of your hard-on.
Narr:	Only to be pulled down by Stacy instead.
Stacy:	By the Fiery Lord! 
Stacy:	What beast lies in these murky depths!?
Me: 	*Gurgle* Damn... you... both...
Me: 	Let go... of my... DICK!
svi Hahahaha!
Violet:	What's going on over here?
Belle:	Violet, come check this out!
Stacy:	You won't believe it.
Me: 	No way! (Fuck this, abort mission!)
Belle:	Hey, where are you going?
Narr:	You start swimming away from the girls...
Narr:	Hoping you'd get to shore before they got to you.
Me: 	(Crazy bitches started grabbing my junk out of nowhere.)
Me: 	(Almost drowned me!)
Me: 	(I need to get to shore.)
Me: 	(Just a bit further...)
Narr:	Now, only inches from the shore, something firmly grabs your ankle.
Me: 	(What the fu--)
Narr:	In the moment, you don't know if you're entangled in kelp...
Narr:	Or if there's truly a beast in the murky depths.
Me: 	BWAAAH!
Violet:	Where are you going?
Belle:	*In the distance* Good job, Violet! Now keep him there!
Me: 	God dammit, Violet. How can you be so strong!?
Me: 	That's cheating! You're fuckin' overpowered!
Violet:	*Chuckle* I'll take that as a compliment.
Narr:	Seconds later, Belle and Stacy reach you...
Belle:	Thought you could get away from us, did you?
Stacy:	Embrace your destiny.
Me: 	If it weren't for Violet, I would have left you in my wake.
Belle:	We're a team, silly. Violet's the tank...
Violet:	Hey!
Belle:	I'm the AD carry and Stacy's...
Stacy:	*Stare*
Belle:	Support?
Stacy:	I help.
Me: 	Congratulations, "Charlie's Angels," you cornered me. Now what?
Violet:	Yeah, now what? Why did I have to swim after him?
Narr:	Without explanation, Belle grabs Violet's arm...
Narr:	And presses it down, onto your crotch.
Violet:	That's...
Violet:	EEEEEK!
Violet:	N-No! I can't do this...
Belle:	It's your fault, you know?
Violet:	...
Belle:	What a scaredy-cat...
Stacy:	*Meow*
Narr:	Out of nowhere, Naomi shows up.
Naomi:	What's with all this noise? What are you guys doing?
Belle:	[m!ct]'s got a boner, and we're checking it out.
Naomi:	Seriously!?
Stacy:	It's remarkable, really.
Naomi:	HOLD HIM DOWN! I'll be right there!
Belle:	Oh, I don't think he's going anywhere.
Narr:	Belle's iron grip tightens around your shaft...
Me: 	Haah, HAAA! PAIN!
Me: 	NOT GOING ANYWHERE, I GET IT!
Narr:	Smiling menacingly, she keeps holding you down by holding your cock...
Me: 	(How the fuck did I get myself into this!?)
Me: 	(Hot, crazy, bitches are grabbing my cock. One after another...)
Me: 	(Under different circumstances, this would be a dream come true. But now...)
Naomi:	Is it still hard?
Belle:	Rock-hard. *Chuckle*
Naomi:	OooOoooh! I want to touch it too!
Naomi:	Out of the way!
Belle:	HEY!
Me: 	*Yeah, help yourself. You don't want to be the only one left out.*
Naomi:	Don't mind me...
Naomi:	Oh, wow! This is an unexpected surprise...
Naomi:	A very long, thick, and hard surprise.
Belle:	Let me feel it again!
Naomi:	You got your chance!
Belle:	*Grunt* I was KIND enough to LET YOU...
Naomi:	You don't own his dick, bitch!
Me: 	None of you do!
Me: 	Now get the hell off of me! Both of you!
Narr:	You quickly move away from the girls, leaving them in their lust.
Me: 	(What the hell is wrong with them!? They started grabbing my dick out of nowhere!)
Me: 	(Just fucking great... Another thing I have to keep secret from Jane.)
Naomi:	Think we overdid it?
Belle:	...
svi Naaah...
Narr:	After the lake fiasco, you return to your room and, soon, evening comes...
Me: 	*Sigh* Sweet solitude.
Me: 	(Today was... Sexually charged, to say the least...)
Me: 	(I had, like, five erections and I didn't even think of sex or anything...)
Me: 	(Shit just kept happening to me!)
Me: 	(I should keep quiet about everything. Don't want any rumors spreading.)
Me: 	(Or any unwanted ears hearing them...)
Me: 	(Especially Jane.)
Me: 	OH, FUCK! JANE! (I forgot! I completely forgot about her!)
Me: 	(I need to text her right away, or she'll flip again.)
Me: 	Come on, come on... (The sooner I text her, the better.)
Me: 	"Hey, sexy, what's up?"
Me: 	*Sigh* Nothing special, but that should do it.
Narr:	Nervously, you wait for an answer...
Narr:	Focusing your gaze on the phone screen like you're trying to burn a hole in it.
Narr:	Luckily for you, it doesn't take long for Jane to answer.
Jane:	"Oh, look, he remembers!"
Me: 	"I was busy until now..." (Fuck, she can see right through me.)
Jane:	"Thank you for finding time for me in your busy schedule."
Me: 	"Jane, come on... We did this bit yesterday..."
Jane:	"Chill, chill. I'm just messing with you. Tee-hee."
Me: 	"Please don't, my little heart can't take any more excitement for today."
Me: 	(IDIOT! Now she's bound to ask questions!)
Jane:	"How come? What happened?"
Me: 	(There you go...)
Me: 	(I don't like it, but I'll have to lie my way out of this one...)
Me: 	(I mean, it's not like I cheated on her... They're the ones constantly hitting on me.)
Me: 	(Yeah, it's not my fault! But, still...)
Me: 	(I'll have to come up with something believable.)
Narr:	With great care, you write the next few messages...
Narr:	Trying to sound plausible, but also trying not to let any touchy info leak out.
Narr:	Telling her more about how you're spending your days here...
Narr:	All the while leaving out all the juicy, yet volatile, details.
Narr:	You and Jane keep chatting for a while, before Eve comes knocking on your door...
Me: 	Come in.
Eve:	Hey, have a minute?
Me: 	Yeah, what's up?
Eve:	Come with me.
Narr:	You get up and follow Eve...
Me: 	So, what did you need me for?
Eve:	The girls and I are going grocery shopping.
Eve:	I'd like you to prep the camping spot, get a fire going, and entertain the patients.
Me: 	*Sigh* Can't they entertain themselves?
Eve:	Oh, come now. It's not that bad.
Eve:	You get to hang out with pretty girls.
Me: 	Pretty unstable girls.
Eve:	[m!ct]...
Me: 	I'm joking, I'm joking... I'll do it.
Eve:	I knew I could count on you.
Me: 	*Chuckle* Always.
Eve:	Awww...
Narr:	She gently caresses her cheek and smiles.
Narr:	A smile you always found heartwarming.
Eve:	Come, now. We're in somewhat of a hurry.
Narr:	With that settled, you follow Eve outside...
Me: 	What do you need Emily and Kiara for, anyway?
Eve:	They said they wanted to stretch their legs.
Me: 	Maybe I wanna stretch my legs? Nobody bothered to ask me?
Eve:	You'll get your chance.
Eve:	But right now, I really need someone to make sure this place stays in one piece.
Eve:	And who better to ask than you?
Me: 	*Scoff* Yeah, I'm great...
Eve:	*Chuckle* That's why I asked.
Me: 	But, Kiara or Emily...
Me: 	I haven't even seen them interact with the patients once.
Me: 	What are they doing here, anyway?
Eve:	Kiara's a veteran, so she gets special treatment.
Me: 	And Emily?
Eve:	Emily is young and... difficult to handle.
Eve:	Please, you're the only one I can count on.
Me: 	Already told you, I'll do it. 
Me: 	I was just wondering if I drew the short straw.
Eve:	Don't assume we're slacking off.
Eve:	Everyone works as hard as they can.
Eve:	Ladies! I'm back! Can I borrow all of you for a second!?
Narr:	Not long after being called out, the girls gather around Eve again...
Eve:	Excellent, everyone's here.
Eve:	So, I have some errands to run. [m!ct] will keep an eye on all of you.
Eve:	We were hoping you ladies could fix up the camping spot out back, a little.
Belle:	Sure, I'm down.
Violet:	Me too.
Stacy:	Can we make a fire?
Eve:	Well, it is a camping spot...
Stacy:	YES!
Naomi:	Umm, hello, Naomi here... Why exactly should we work?
Naomi:	We came here for "rehabilitation", not calluses.
Eve:	Because this IS rehabilitation.
Eve:	You need to start doing normal things, like maintenance.
Eve:	You might find it boring--
Naomi:	I already do...
Eve:	But the grim reality is that you won't be able to do whatever you please, whenever it suits you...
Eve:	And I'm not just talking about our time together.
Stacy:	Reality IS difficult...
Naomi:	What?
Eve:	Lack of stimulation, and boredom, can be a strain on an unhealthy mentality.
Eve:	Why don't you at least give it a go?
Naomi:	*Sigh* Well, you asked so nicely...
Eve:	That's the spirit!
Eve:	Alright, I have to go. Take care, everyone.
Eve:	See you soon.
Narr:	Eve goes away and leaves you to hang out with the girls.
Me: 	(This'll be fun...)
Belle:	You're a good, obedient, little boy, huh?
Naomi:	You do everything she asks of you?
Stacy:	He'd be a good follower.
Violet:	Come on, I think it's sweet.
Me: 	You done?
Belle:	Just about.
Belle:	But you can't really blame [m!ct]...
Belle:	Even I could never say no to those massive, milky tits of hers!
Me: 	...
Belle:	Okay, now I'm done.
Me: 	Great, let's get this over with...
Narr:	Not long after...
Me: 	I'll bring us some fresh logs to sit on.
Me: 	Can you get rid of the old ones?
Violet:	Of course.
Belle:	I'll help too.
Naomi:	If I break a nail, I'll have your head.
Me: 	Stacy, you?
Stacy:	I mean, I can...
Me: 	Oh, I know what you'd like...
Me: 	Why don't you get us some firewood?
Narr:	Your suggestion makes Stacy's eyes sparkle...
Narr:	And, she runs off with a smile to get something flammable.
Naomi:	The simplicity of that girl...
Belle:	Mind-boggling.
Me: 	Ready to have "fun"?
Violet:	Yes!
Belle:	Wooo, party!
Naomi:	*Sigh* Let's get this over with...
Narr:	You begin freshening up the spot...
Narr:	And, after a while, it actually looks a bit more presentable.
Naomi:	Is it just me, or does everything look exactly the same?
Belle:	Yeah, I don't see any difference.
Naomi:	So all of this effort was for nothing?
Stacy:	How can you call this majestic fire "nothing"?
Violet:	I think it's great.
Narr:	You all share a brief moment of silence, as no one has anything more to really say.
Narr:	But, soon...
Belle:	I'm bored out of my miiiiiiind!
Naomi:	Yeah, this is horrible.
Stacy:	I agree. It's just not the same without chicken blood...
Me: 	I can bring us some marshmallows if you want?
Naomi:	Yeah, that'll liven up the mood.
Me: 	Anyone? Violet?
Violet:	No thanks, that's too much sugar.
Me: 	Then I guess we'll just sit in silence...
Belle:	Wanna get drunk?
Stacy:	Yes!
Naomi:	Why, you have something?
Belle:	Maybe... *Giggle*
Me: 	You're lying. I checked your things, and there wasn't any booze.
Narr:	Belle slyly smiles...
Belle:	"BRB"!
Narr:	And leaves the campfire.
Violet:	Wonder what she'll come up with...
Me: 	So do I.
Naomi:	So does everyone... and, I seriously hope she comes back with a bottle of vodka.
Me: 	I think you're in for a disapp--
Belle:	Who wants vodkaaa!?
Me: 	You gotta be shitting me...
Naomi:	DIBS!
Violet:	Come on, you're not really gonna--
Stacy:	Me too, me too!
Naomi:	*Glug* *Glug*
Naomi:	Fuck yes! That hits the spot!
Me: 	How the hell did you smuggle a whole bottle of vodka onto camp?
Belle:	*Wink*
Me: 	*Shivers* Oh God...
Stacy:	Violet, have some.
Violet:	Hmm... Guess I could take a sip.
Me: 	"Et tu, Brute"?
Naomi:	Oh, leave her alone. She knows how to make her own choices.
Narr:	This sentence leaves everyone dumbfounded for a second.
Narr:	Finally, you're the first one who manages to come back to their senses...
Me: 	Naomi... Were you just nice to Violet?
Belle:	Yeah, I thought you couldn't stand each other.
Naomi:	Shut up!
Naomi:	We're not best buddies... but I guess I can respect her.
Violet:	Wow, I didn't expect that.
Violet:	Honestly... I respect you too, Naomi.
Naomi:	Don't think this means we're besties...
Violet:	*Chuckle* It's a start.
Violet:	Want some?
Me: 	I mean, if Violet's drinking, I guess I don't have an excuse not to.
Belle:	Woooo! GO, [m!tu]!
Stacy:	Best guardian ever!
Violet:	*Chuckle* Most handsome guardian.
Naomi:	And the size of his... Oof! *Shivers*
Me: 	Good thing I didn't confiscate that bottle, I’m not sure how I'd handle you girls otherwise.
Belle:	*Chuckle* Aww, [m!ct] likes us.
Me: 	I'm sorry, did you mishear me?
svi Hahahaha!
Narr:	The booze lifts everyone's spirits, naturally.
Narr:	And, after a while, everyone's nice and cozy...
Narr:	And tipsy...
Me: 	So, anyone have any good campfire stories they wanna share?
Me: 	Violet, I'm sure you have some stories to share.
Violet:	I don't know...
Belle:	Shyness is a sickness, you know?
Naomi:	And hyper-eroticism isn't?
Belle:	*Chuckle* Touché.
Narr:	Violet is still gazing at the stars, wondering which story to tell...
Violet:	I think I have one, but it's not that special.
Naomi:	Whatever, just entertain us.
Violet:	Okay, here goes nothing...
Violet:	Everyone's aware I've been into sports since I was a kid, right?
Violet:	My dad was a triathlete... a gold medalist might I add.
Violet:	He wanted me to follow in his footsteps...
Naomi:	Classic pushy parent?
Violet:	Not really. I mean, he is pushy...
Violet:	Anyway, my second trainer was this really nice guy, pretty famous too.
Violet:	He helped me out with everything.
Violet:	Making sure I'm healthy, and strong...
Violet:	Preparing me for competitions, and even training me outside working hours.
Naomi:	Was he handsome?
Violet:	He was quite good-looking. Very charming, too.
Belle:	Drool.
Violet:	*Chuckle* A bit.
Violet:	Everyone was quite infatuated with him, even my parents.
Me: 	I hear a "but" coming...
Violet:	But...
Me: 	Called it.
Violet:	Slowly, his affection started turning sour.
Violet:	I knew he found me attractive, but I didn't think he'd make a move.
Violet:	I was so young...
Belle:	How old were you back then?
Violet:	It was just after I turned eighteen.
Belle:	Tell us more!
Violet:	He started touching me more often, even though I told him it felt weird.
Violet:	He'd always pull back as soon as I said anything.
Violet:	But one day, in the lockers, he didn't...
Violet:	He kept flirting with me, trying to get me to say yes...
Violet:	But I wouldn't let up.
Violet:	He continued anyway.
Naomi:	Fuck, Violet, you got raped!?
Violet:	Oh, no, no.
Stacy:	What happened?
Violet:	I couldn't take it anymore, so I...
Violet:	Hit him.
Me: 	And what did he do?
Violet:	Honestly, I don't remember.
Violet:	I was seeing red, so everything is a bit blurry.
Violet:	But after all was said and done...
Violet:	He ended up in the hospital with a broken arm.
Violet:	Aaand his nose...
Violet:	Aaaaaand a few cracked ribs...
Violet:	They also had to buy new lockers.
Naomi:	Holy shit...
Me: 	*Chuckle* Violet, you're pretty badass.
Belle:	Nice, Violet!
Stacy:	Remind me to never make you angry. I don’t really need to go through a full facial reconstruction.
Violet:	*Chuckle* Thanks, guys.
Violet:	*Blush* Everyone else scolded me afterwards.
Violet:	Like, I was the one who went overboard.
Me: 	He should count himself lucky that he's alive.
Violet:	That's what I thought.
Naomi:	Wow, sorry for giving you so much shit, Violet.
Violet:	It's okay, apology accepted.
Belle:	*Chuckle* Naomi is just scared for her life.
Naomi:	Shut up.
Me: 	Belle, why don't you tell us a story?
Belle:	Me? You sure?
Belle:	'Kay, you asked for it...
Belle:	So...
Belle:	At one point in my life, I met this older, gorgeous, woman.
Belle:	Married, I might add.
Me: 	Oh God, I think I know where this is going...
Belle:	We weren't close or anything... We didn't even know each other that long.
Belle:	And, at one point, we found ourselves in a room together, just the two of us, alone...
Belle:	She was helping me out with something.
Belle:	And we talked about this and that...
Belle:	I gave her a few compliments, and she found them very flattering.
